	Bas	Bmem	Bn	CD4mem	CD4nv	Tem	Tn	EOS	Mono	Neu	NK	Treg
sample0	0.10072615257434438	0.04266281353182304	0.006479362111810783	0.0026136032528744895	0.1286067652551275	0.14433891295185736	0.09593055425976262	0.11535918622221784	0.08596632250180944	0.14786799504783393	0.1290152786368359	0.00043305365370271964
sample1	0.13129067012644308	0.08235697676729095	0.04558657994844581	0.06429129244009738	0.004307459909153348	0.01890365280551143	0.10200287162780251	0.09843839147748144	0.09360089962838551	0.05835786985435538	0.1516769667754272	0.14918636863960605
sample2	0.11200668121990344	0.08155806663376992	0.048163166223101135	0.07542298763607375	0.13808758196163012	0.14500458082120454	0.05554553040874521	0.08872653373856812	0.04996826736103532	0.09226146885984347	0.0524586646900255	0.060796470446099614
sample3	0.17184394776549103	0.052260549498039634	0.19135921008047235	0.012786919013843748	0.07338306034450379	0.03280990012759475	0.09832074832702781	0.17385821441321045	0.05035516826519012	0.011357597466227328	0.08832414524245882	0.04334053945594025
sample4	0.04953158852602318	0.014311704339076293	0.08534609224998836	0.1257796736895919	0.059742461100169626	0.12950168923434968	0.06781688351351137	0.05768738070693108	0.08413941920930118	0.1349968172016197	0.12873563030945642	0.062410659919981314
sample5	0.0	0.0	0.23000400354185102	0.0	0.0	0.0	0.24699086919819307	0.25777740210320116	0.0	0.0	0.003916572490724144	0.2613111526660306
sample6	0.11264832760839685	0.006231607181076749	0.0	0.1848295898964964	0.0035132344018172193	0.20411556527179983	0.014651175328641939	0.014517710577006819	0.13497209439140415	0.15800590202814263	0.1665147933152174	0.0
sample7	0.0	0.0	0.28861691269464224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12467832094244492	0.5867047663629129
sample8	0.0	0.0	0.0	0.2920953805811793	0.0	0.0	0.2045082089903252	0.050091463976728555	0.13997527071402324	0.0	0.0	0.31332967573774373
sample9	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
