name	GSM3748102_allc_SAMPLE.tsv	Pool_1000_AD002_indexed.tar.gz	Pool_1000_AD002_indexed
cg24699430	0.0		
cg16380632	1.0		
cg07597386		0.0	0.0
cg07597386		0.0	0.0
cg22396632		0.0	0.0
cg22396632		0.0	0.0
cg07550869		0.0	0.0
cg07550869		0.0	0.0
cg03760518		0.0	0.0
cg03760518		0.0	0.0
cg14037182		0.0	0.0
cg14037182		0.0	0.0
cg22012759		0.0	0.0
cg22012759		0.0	0.0
cg16258229		0.0	0.0
cg16258229		0.0	0.0
cg15073708		1.0	1.0
cg15073708		1.0	1.0
cg22171613		0.0	0.0
cg22171613		0.0	0.0
cg17236617		0.0	0.0
cg17236617		0.0	0.0
cg20325547		0.0	0.0
cg20325547		0.0	0.0
cg03541746		0.0	0.0
cg03541746		0.0	0.0
cg18017109		0.0	0.0
cg18017109		0.0	0.0
cg21157465		0.0	0.0
cg21157465		0.0	0.0
cg16023434		0.0	0.0
cg16023434		0.0	0.0
cg06584407		0.0	0.0
cg06584407		0.0	0.0
cg16365973		0.0	0.0
cg16365973		0.0	0.0
cg05654304		0.0	0.0
cg05654304		0.0	0.0
cg10240587		0.0	0.0
cg10240587		0.0	0.0
cg01144933		0.0	0.0
cg01144933		0.0	0.0
cg14577366		0.0	0.0
cg14577366		0.0	0.0
cg02671063		0.0	0.0
cg02671063		0.0	0.0
cg24678241		0.0	0.0
cg24678241		0.0	0.0
cg23815775		0.0	0.0
cg23815775		0.0	0.0
cg04977858		0.0	0.0
cg04977858		0.0	0.0
cg03939132		0.0	0.0
cg03939132		0.0	0.0
cg14035553		0.0	0.0
cg14035553		0.0	0.0
cg00228796		0.0	0.0
cg00228796		0.0	0.0
cg17873612		0.0	0.0
cg17873612		0.0	0.0
cg07785945		0.0	0.0
cg07785945		0.0	0.0
cg19696976		0.0	0.0
cg19696976		0.0	0.0
cg12275652		0.0	0.0
cg12275652		0.0	0.0
cg12130907		0.0	0.0
cg12130907		0.0	0.0
cg01566199		0.0	0.0
cg01566199		0.0	0.0
cg11143175		0.0	0.0
cg11143175		0.0	0.0
cg13687998		0.0	0.0
cg13687998		0.0	0.0
cg14788334		0.0	0.0
cg14788334		0.0	0.0
cg13571388		0.0	0.0
cg13571388		0.0	0.0
cg17416231		0.0	0.0
cg17416231		0.0	0.0
cg21824902		0.0	0.0
cg21824902		0.0	0.0
cg11072045		0.0	0.0
cg11072045		0.0	0.0
cg20272028		0.0	0.0
cg20272028		0.0	0.0
cg25192948		0.0	0.0
cg25192948		0.0	0.0
cg17858486		0.0	0.0
cg17858486		0.0	0.0
cg26228266		0.0	0.0
cg26228266		0.0	0.0
cg11787186		0.0	0.0
cg11787186		0.0	0.0
cg03506609		0.0	0.0
cg03506609		0.0	0.0
cg13420647		0.0	0.0
cg13420647		0.0	0.0
cg19898230		0.0	0.0
cg19898230		0.0	0.0
cg15687240		0.0	0.0
cg15687240		0.0	0.0
cg26556529		1.0	1.0
cg26556529		1.0	1.0
cg11813544		0.0	0.0
