GSM5527895	GSM5527896	GSM5527897	GSM5527898	GSM5527899	GSM5527900	GSM5527901	GSM5527902	GSM5527903	GSM5527904	GSM5527905	GSM5527906
cg23788058	0.798699449	0.784677456	0.74981309	0.789639854	0.810941974	0.825244463	0.788397419	0.842143119	0.803314784	0.776536764	0.782452819	0.764556341
cg21091766	0.687263871	0.730978837	0.743193841	0.645360376	0.69560332	0.72999294	0.737264397	0.719589698	0.715292884	0.690504371	0.709239717	0.677736099
cg16596052	0.879610284	0.833583581	0.841797798	0.735548403	0.830872763	0.844413481	0.76839483	0.91779872	0.897434876	0.768093772	0.778752815	0.770609437
cg21782213	0.868848813	0.878711025	0.833995666	0.862394569	0.877224017	0.882607419	0.846306483	0.89750646	0.859405181	0.87305691	0.844378686	0.861699505
cg15213052	0.889969575	0.887590506	0.885214628	0.864699342	0.865485621	0.882226631	0.884852479	0.876809254	0.896413387	0.884473802	0.851817713	0.862769871
cg17458390	0.117161441	0.080060866	0.071458516	0.143326585	0.08785156	0.074913869	0.090899878	0.074723683	0.081102631	0.081632585	0.075887948	0.113379053
cg19850895	0.878980332	0.875194166	0.902452525	0.805203742	0.875195158	0.873695376	0.844872471	0.895476017	0.901887	0.875930908	0.840392458	0.864831574
cg27225309	0.438220517	0.302231866	0.421263644	0.335391233	0.251055594	0.336748842	0.322993831	0.285071801	0.421823492	0.387013669	0.361695176	0.247848575
cg17518643	0.817972414	0.76323919	0.700720148	0.810156068	0.819491989	0.796900676	0.79493788	0.797216117	0.790897659	0.723225899	0.760127754	0.753349119
cg12043508	0.812391589	0.778422488	0.772229167	0.767634614	0.768672539	0.756668664	0.760957272	0.78143232	0.787551335	0.818884788	0.815689741	0.753499401
cg20813776	0.827765608	0.818739935	0.803097248	0.821824641	0.798466151	0.865929694	0.81277114	0.806825357	0.796361403	0.837328906	0.806455392	0.836255207
cg00267793	0.825210293	0.842762129	0.866723681	0.855509845	0.848906863	0.85172954	0.896194717	0.868136848	0.851359905	0.863572913	0.857998282	0.903736592
cg17491554	0.740732024	0.781025131	0.722585004	0.803309915	0.796731192	0.77531524	0.805208745	0.826247896	0.800660217	0.831657312	0.810632161	0.847470426
cg02053685	0.866128496	0.86211535	0.846200325	0.8440997	0.844170912	0.862637974	0.879912437	0.869446928	0.848410257	0.885873701	0.856096033	0.840977938
cg08662013	0.876540137	0.875299444	0.837073322	0.871269556	0.896477898	0.892458567	0.863640725	0.855276338	0.873029799	0.853299513	0.876148544	0.892894024
cg05202121	0.502346797	0.488253068	0.456873224	0.434484096	0.5354928	0.47661752	0.469663724	0.437219145	0.477702371	0.456944664	0.442481434	0.441339411
cg11266582	0.499066033	0.563208984	0.488595096	0.424091151	0.525041885	0.477345816	0.519431814	0.427010243	0.432676116	0.563853695	0.50346297	0.386019725
cg07133479	0.737292175	0.694274226	0.650260006	0.742523756	0.740423089	0.739348713	0.703648943	0.73756361	0.690685768	0.707280753	0.690211586	0.724240828
cg07495335	0.876216307	0.852994539	0.780173768	0.827678207	0.853170224	0.866864117	0.839729937	0.874199699	0.834692474	0.814745988	0.808580734	0.834458624
cg10077978	0.228863227	0.307371817	0.176717565	0.350822019	0.255646987	0.321388134	0.286462993	0.315514253	0.286284104	0.285560789	0.294763024	0.358276266
