	0
0	cg00024269
1	cg00042837
2	cg00052472
3	cg00094401
4	cg00108812
5	cg00116838
6	cg00125306
7	cg00148114
8	cg00189101
9	cg00199355
10	cg00199753
11	cg00204375
12	cg00215902
13	cg00259667
14	cg00265360
15	cg00267793
16	cg00290023
17	cg00308680
18	cg00322928
19	cg00325390
20	cg00334594
21	cg00362818
22	cg00380283
23	cg00381298
24	cg00386460
25	cg00390215
26	cg00400964
27	cg00412514
28	cg00417068
29	cg00442282
30	cg00444906
31	cg00460916
32	cg00482101
33	cg00504885
34	cg00510903
35	cg00547530
36	cg00549876
37	cg00570498
38	cg00576774
39	cg00612332
40	cg00616028
41	cg00649318
42	cg00649632
43	cg00680253
44	cg00683371
45	cg00774347
46	cg00780810
47	cg00789615
48	cg00819880
49	cg00863309
50	cg00908794
51	cg00920892
52	cg00946921
53	cg00963090
54	cg00994876
55	cg01000850
56	cg01002722
57	cg01016326
58	cg01029623
59	cg01038299
60	cg01054652
61	cg01055868
62	cg01070424
63	cg01080986
64	cg01081456
65	cg01093786
66	cg01099300
67	cg01119784
68	cg01134075
69	cg01207474
70	cg01231757
71	cg01268058
72	cg01321230
73	cg01325426
74	cg01343045
75	cg01348086
76	cg01355089
77	cg01419713
78	cg01427575
79	cg01439631
80	cg01474925
81	cg01537248
82	cg01553433
83	cg01586672
84	cg01586797
85	cg01604809
86	cg01653532
87	cg01658789
88	cg01668106
89	cg01684175
90	cg01691182
91	cg01699630
92	cg01721754
93	cg01738152
94	cg01738650
95	cg01770400
96	cg01795081
97	cg01806427
98	cg01817067
99	cg01842756
100	cg01849603
101	cg01854491
102	cg01880320
103	cg01881899
104	cg01891154
105	cg01909656
106	cg01923724
107	cg01923854
108	cg01926777
109	cg01927645
110	cg01932734
111	cg01943873
112	cg02001991
113	cg02015961
114	cg02035448
115	cg02053685
116	cg02064336
117	cg02129005
118	cg02153245
119	cg02153332
120	cg02164561
121	cg02179849
122	cg02212846
123	cg02213045
124	cg02244028
125	cg02249596
126	cg02268561
127	cg02275418
128	cg02304134
129	cg02321197
130	cg02321538
131	cg02342895
132	cg02381708
133	cg02392976
134	cg02400146
135	cg02442623
136	cg02445229
137	cg02450981
138	cg02460953
139	cg02498708
140	cg02508438
141	cg02514840
142	cg02522485
143	cg02556345
144	cg02586212
145	cg02588816
146	cg02607723
147	cg02628895
148	cg02647748
149	cg02650017
150	cg02690807
151	cg02733803
152	cg02794096
153	cg02895591
154	cg02905828
155	cg02946675
156	cg02959588
157	cg02970679
158	cg03012821
159	cg03016258
160	cg03037030
161	cg03037393
162	cg03048488
163	cg03077364
164	cg03079497
165	cg03083290
166	cg03085312
167	cg03097275
168	cg03116607
169	cg03243485
170	cg03284117
171	cg03290977
172	cg03331259
173	cg03340102
174	cg03421440
175	cg03429034
176	cg03478159
177	cg03487777
178	cg03519593
179	cg03521218
180	cg03522489
181	cg03534481
182	cg03534847
183	cg03588919
184	cg03601752
185	cg03637218
186	cg03638567
187	cg03689458
188	cg03753191
189	cg03801871
190	cg03822267
191	cg03833097
192	cg03855983
193	cg03873220
194	cg03896685
195	cg03903882
196	cg03963219
197	cg03990261
198	cg04005969
199	cg04017326
200	cg04054221
201	cg04069927
202	cg04073934
203	cg04078283
204	cg04148640
205	cg04272632
206	cg04307216
207	cg04332442
208	cg04348305
209	cg04369622
210	cg04383721
211	cg04423493
212	cg04425375
213	cg04447981
214	cg04467549
215	cg04496578
216	cg04502673
217	cg04523212
218	cg04533831
219	cg04554131
220	cg04580996
221	cg04616529
222	cg04631160
223	cg04656451
224	cg04657000
225	cg04699519
226	cg04718050
227	cg04741118
228	cg04801961
229	cg04832952
230	cg04886407
231	cg04914531
232	cg04939326
233	cg04966774
234	cg04980099
235	cg04987438
236	cg05007288
237	cg05084043
238	cg05101920
239	cg05202121
240	cg05205743
241	cg05271775
242	cg05349059
243	cg05437498
244	cg05492904
245	cg05496203
246	cg05496363
247	cg05501357
248	cg05522807
249	cg05533219
250	cg05546044
251	cg05662676
252	cg05667019
253	cg05667620
254	cg05683781
255	cg05756986
256	cg05759347
257	cg05770620
258	cg05851333
259	cg05869699
260	cg05902684
261	cg05937292
262	cg05941925
263	cg05980836
264	cg06000732
265	cg06016162
266	cg06020419
267	cg06061483
268	cg06062946
269	cg06114546
270	cg06117093
271	cg06125671
272	cg06149826
273	cg06169135
274	cg06187522
275	cg06195379
276	cg06202778
277	cg06242807
